一|yī|one
衣服|yīfu|clothes
鞋|xié|shoe
水|shuǐ|water
茶|chá|tea
咖啡|kāfēi|coffee
牛奶|niúnǎi|milk
米饭|mǐfàn|cooked rice
面条|miàntiáo|noodles
菜|cài|dish, vegetable
苹果|píngguǒ|apple
水果|shuǐguǒ|fruit
鱼|yú|fish
肉|ròu|meat
鸡蛋|jīdàn|egg
面包|miànbāo|bread
出租车|chūzūchē|taxi
公共汽车|gōnggòngqìchē|bus
自行车|zìxíngchē|bicycle
飞机|fēijī|airplane
火车|huǒchē|train
车|chē|car, vehicle
机场|jīchǎng|airport
火车站|huǒchēzhàn|train station
眼睛|yǎnjing|eye
耳朵|ěrduo|ear
鼻子|bízi|nose
嘴|zuǐ|mouth
牙|yá|tooth
头|tóu|head
手|shǒu|hand
脚|jiǎo|foot
腿|tuǐ|leg
身体|shēntǐ|body
病|bìng|illness, to be ill
药|yào|medicine
天气|tiānqì|weather
晴|qíng|sunny
阴|yīn|cloudy
雨|yǔ|rain
雪|xuě|snow
风|fēng|wind
早上好|zǎoshanghǎo|Good morning
你好|nǐhǎo|Hello
谢谢|xièxie|Thank you
不客气|búkèqi|You're welcome
对不起|duìbuqǐ|Sorry
再见|zàijiàn|Goodbye
请|qǐng|Please
会|huì|can, to know how to
能|néng|can, be able to
可以|kěyǐ|can, may
要|yào|to want
想|xiǎng|to want, to think
爱|ài|to love
喜欢|xǐhuan|to like
认识|rènshi|to know someone
知道|zhīdào|to know a fact
觉得|juéde|to feel, to think
说|shuō|to speak
听|tīng|to listen
读|dú|to read
写|xiě|to write
看|kàn|to see, to watch
吃|chī|to eat
喝|hē|to drink
买|mǎi|to buy
做|zuò|to do
去|qù|to go
来|lái|to come
回|huí|to return
开|kāi|to open
关|guān|to close
起床|qǐchuáng|to get up
睡觉|shuìjiào|to sleep
洗|xǐ|to wash
走|zǒu|to walk
跑|pǎo|to run
跳|tiào|to jump
玩|wán|to play
学习|xuéxí|to study
上班|shàngbān|to go to work
下班|xiàbān|to get off work
休息|xiūxi|to rest
住|zhù|to live
帮助|bāngzhù|to help
找|zhǎo|to look for
等|děng|to wait
给|gěi|to give
打电话|dǎdiànhuà|to make a phone call
唱歌|chànggē|to sing
跳舞|tiàowǔ|to dance
运动|yùndòng|to exercise
旅行|lǚxíng|to travel
一个|yīgè|one (general measure word)
一些|yīxiē|some
这儿|zhèr|here
那儿|nàr|there
一会儿|yīhuìr|a little while
常常|chángcháng|often
非常|fēicháng|very
特别|tèbié|especially
已经|yǐjīng|already
正在|zhèngzài|in the process of
就|jiù|then
才|cái|only then
还|hái|also, still
一起|yīqǐ|together
真|zhēn|really
最|zuì|most
先|xiān|first
然后|ránhòu|then
可是|kěshì|but
所以|suǒyǐ|so
因为|yīnwèi|because
虽然|suīrán|although
如果|rúguǒ|if
为了|wèile|in order to
比|bǐ|than
对|duì|to, towards
往|wǎng|to, towards
离|lí|away from
把|bǎ|to hold
被|bèi|by (passive voice marker)
着|zhe|(aspect particle)
了|le|(aspect particle)
过|guo|(aspect particle)
一下|yīxià|a bit
点儿|diǎnr|a little
次|cì|times
遍|biàn|times (for actions)
种|zhǒng|kind, sort
件|jiàn|(measure word for clothes)
本|běn|(measure word for books)
张|zhāng|(measure word for flat objects)
块|kuài|(measure word for pieces of things)
只|zhī|(measure word for animals)
辆|liàng|(measure word for vehicles)
位|wèi|(measure word for people)
些|xiē|some
为什么|wèishénme|Why?
怎么了|zěnmele|What's wrong?
喂|wéi/wèi|Hello (on the phone)
哪儿|nǎr|where
每|měi|every
别的|biéde|other
自己|zìjǐ|oneself
觉得|juéde|to feel, to think
告诉|gàosu|to tell
应该|yīnggāi|should
准备|zhǔnbèi|to prepare
开始|kāishǐ|to start
结束|jiéshù|to finish
帮助|bāngzhù|to help
让|ràng|to let, to allow
给|gěi|to give
送|sòng|to send, to give as a gift
借|jiè|to borrow, to lend
还|huán|to return something
拿|ná|to take
穿|chuān|to wear
戴|dài|to wear (accessories)
找|zhǎo|to look for
等|děng|to wait
问|wèn|to ask
回答|huídá|to answer
知道|zhīdào|to know
明白|míngbai|to understand
学习|xuéxí|to study
练习|liànxí|to practice
考试|kǎoshì|to take a test
觉得|juéde|to feel, to think
认为|rènwéi|to think, to consider
希望|xīwàng|to hope
同意|tóngyì|to agree
决定|juédìng|to decide
喜欢|xǐhuan|to like
爱|ài|to love
害怕|hàipà|to be afraid
生气|shēngqì|to get angry
哭|kū|to cry
笑|xiào|to laugh
高兴|gāoxìng|happy
难过|nánguò|sad
舒服|shūfu|comfortable
累|lèi|tired
饿|è|hungry
渴|kě|thirsty
健康|jiànkāng|healthy
生病|shēngbìng|to get sick
感冒|gǎnmào|to have a cold
发烧|fāshāo|to have a fever
疼|téng|to hurt
舒服|shūfu|comfortable
重要|zhòngyào|important
容易|róngyì|easy
难|nán|difficult
开心|kāixīn|happy
高兴|gāoxìng|happy
聪明|cōngming|smart
努力|nǔlì|hardworking
认真|rènzhēn|serious
安静|ānjìng|quiet
快|kuài|fast
慢|màn|slow
长|cháng|long
短|duǎn|short
高|gāo|tall
矮|ǎi|short
远|yuǎn|far
近|jìn|near
大|dà|big
小|xiǎo|small
多|duō|many
少|shǎo|few
好|hǎo|good
坏|huài|bad
冷|lěng|cold
热|rè|hot
晴|qíng|sunny
阴|yīn|cloudy
雨|yǔ|rain
雪|xuě|snow
风|fēng|wind
漂亮|piàoliang|beautiful
可爱|kě'ài|cute
干净|gānjìng|clean
脏|zāng|dirty
新|xīn|new
旧|jiù|old
贵|guì|expensive
便宜|piányi|cheap
白|bái|white
黑|hēi|black
红|hóng|red
黄|huáng|yellow
蓝|lán|blue
绿|lǜ|green
忙|máng|busy
饱|bǎo|full
饿|è|hungry
渴|kě|thirsty
累|lèi|tired
舒服|shūfu|comfortable
高兴|gāoxìng|happy
难过|nánguò|sad
快|kuài|fast
慢|màn|slow
早|zǎo|early
晚|wǎn|late
常常|chángcháng|often
有时|yǒushí|sometimes
经常|jīngcháng|often
很少|hěnshǎo|seldom
总是|zǒngshì|always
已经|yǐjīng|already
正在|zhèngzài|in the middle of
就|jiù|then
才|cái|only then
先|xiān|first
然后|ránhòu|then
一会儿|yīhuìr|a while
马上|mǎshàng|immediately
一起|yīqǐ|together
已经|yǐjīng|already
正在|zhèngzài|in the process of
就|jiù|then
才|cái|only then
一共|yīgòng|altogether
当然|dāngrán|of course
一定|yīdìng|certainly
可能|kěnéng|possibly
也许|yěxǔ|perhaps
其实|qíshí|actually
特别|tèbié|especially
非常|fēicháng|very
比较|bǐjiào|relatively
更|gèng|even more
最|zuì|most
真的|zhēnde|really
非常|fēicháng|very
太|tài|too
还|hái|still, also
已经|yǐjīng|already
正在|zhèngzài|in the process of
就|jiù|then
才|cái|only then
也|yě|also
都|dōu|all
又|yòu|again
一边|yībiān|while
虽然|suīrán|although
但是|dànshì|but
如果|rúguǒ|if
因为|yīnwèi|because
所以|suǒyǐ|so
为了|wèile|in order to
或者|huòzhě|or
和|hé|and
跟|gēn|with
对|duì|to, towards
从|cóng|from
到|dào|to, until
在|zài|at, in
给|gěi|to give
往|wǎng|to, towards
离|lí|away from
为了|wèile|in order to
把|bǎ|to hold
被|bèi|by (passive voice marker)
着|zhe|(aspect particle)
了|le|(aspect particle)
过|guo|(aspect particle)
一下|yīxià|a bit
点儿|diǎnr|a little
次|cì|times
遍|biàn|times (for actions)
种|zhǒng|kind, sort
件|jiàn|(measure word for clothes)
本|běn|(measure word for books)
张|zhāng|(measure word for flat objects)
块|kuài|(measure word for pieces of things)
只|zhī|(measure word for animals)
辆|liàng|(measure word for vehicles)
位|wèi|(measure word for people)
些|xiē|some
个|gè|general measure word
岁|suì|years old
